Number of sheets,Average voltage (unitless)
0,274
1,253.791666666667
2,239.413793103448
3,223.15
4,209.1875
5,194.470588235294
6,179.32
7,174.192307692308
8,168.268292682927
9,154.027027027027
10,149.103448275862
11,140.628571428571
12,126.720930232558
13,125.4375
14,121.2
15,111.823529411765
16,108.96
17,105.692307692308
18,100.365853658537
19,95.4
20,94.0909090909091
21,90.4651162790698
22,85.2291666666667
23,84.9142857142857
24,76.6530612244898
25,74.2321428571429
